"city","facebook","name","state","street","tags","twitter","type","website","x","y","zip"
"Baldwinsville","abbottfarmsny","Abbott Farms","ny","3275 Cold Springs Road","baked-goods canned preserved coffee tea dairy products dry beans eggs herbs fresh-fruits fresh-vegetables grains flour honey juices ciders maple-products nuts prepared-foods red-meat non-poultry-meat soap body-care","","farm","abbottfarms.com","-76.281483","43.144523","13027"
"Hogansburg","https://www.facebook.com/grayshomesteadfarm/","AMERICAN INDIAN Gray's Homestead Farm","ny","1109 Drum Street","baked-goods canned preserved coffee tea dairy products eggs herbs fresh-fruits fresh-vegetables honey maple-products soap body-care wild-harvested forest-products","","farm","","-74.593024","44.988345","13655"
"Canton","www.facebook.com/anniesgarlic","Annies Garlic","ny","273 Morrill Rd","","","farm","www.anniesgarlic.com","-75.044278","44.555825","13617"
"Ulster Park","Apple Bun Farm Market","Apple Bin Farm Market","ny","810 Broadway Rt. 9W","baked-goods bedding plants canned preserved coffee tea dairy products eggs herbs fresh-fruits fresh-vegetables honey juices ciders maple-products nursery-stock nuts prepared-foods soap body-care","","farm","www.theapplebinfarmmarket.com","-73.9695269","41.8467297","12487"
"West Charlton","","Arnold's Farm Fresh Produce","ny","1319 Sacandaga Rd","baked-goods canned preserved coffee tea crafts woodworking cut-flowers dairy products herbs fresh-fruits fresh-vegetables honey maple-products nuts red-meat non-poultry-meat soap body-care","","farm","www.arnoldsproduce.com","-74.029509","42.971771","12010"
"Fultonviille","https://www.facebook.com/pages/Bellingers-Orchard/117953028227463","Bellinger's Orchard","ny","685 Argersinger Rd","baked-goods canned preserved dairy products fresh-fruits fresh-vegetables honey","https://twitter.com/Bellingersapple","farm","www.bellingersorchard.com","-74.393467","42.902931","12072"
"Frankfort","","Brick House Acres - Greenhouse & Berry Farm","ny","10628 Roberts Road","","","farm","","-75.192754","43.00074","13340"
"Rochester","https://www.facebook.com/brightonhoney","Brighton Honey","ny","106 Norman Rd","honey","https://twitter.com/brightonhoney","farm","https://www.brightonhoney.com/","-77.639933","43.112030","14623"
"Dover Plains","https://www.facebook.com/BrookbyFarm/","Brookby Farm","ny","62 Dover Furnace Rd","baked-goods bedding plants canned preserved coffee tea dairy products dry beans eggs herbs fresh-vegetables grains flour honey juices ciders maple-products mushrooms nuts poultry fowl prepared-foods red-meat non-poultry-meat soap body-care","","farm","https://www.brookbyfarm.com/","-73.579068","41.684239","12522"
"Campbell Hall","","C. Rowe & Sons","ny","113 Station Road","fresh-fruits fresh-vegetables grains flour","","farm","","-74.2139200","41.4695350","10916"
"Marcy","https://www.facebook.com/pages/Candellas-Farm-Marcy-You-Pick-Strawberries/110272999063769","Candellas Farm","ny","9256 River Road","bedding plants fresh-fruits fresh-vegetables honey maple-products","","farm","www.candellasfarm.com","-75.2756664","43.1382071","13403"
"Deposit","http://www.facebook.com/catskillcattle.com","Catskill Cattle Co. - Catskill Fresh Farmstand","ny","96 Laurel Bank Ave","baked-goods bedding plants canned preserved eggs herbs fresh-fruits fresh-vegetables honey maple-products pet-food poultry fowl","","farm","http://www.catskillfresh.com","-75.407016","42.066716","13754"
"Amenia","","Cedar Hill Farm","ny","176 Leedsville Rd","red-meat non-poultry-meat","","farm","","-73.5112340","41.8325419","12501"
"Sherburne","http://www.facebook.com/cooksmaple","Cook's Maple Products","ny","247 County Road 20","maple-products","http://www.twitter.com/cooksmaple","farm","http://www.cooksmaple.com","-75.546679","42.648135","13460"
"Jefferson","https://www.facebook.com/cowbella","Cowbella Creamery at Danforth Jersey Farm","ny","Danforth Jersey Farm, 157 Danforth Road","dairy products","","farm","www.cowbella.com","-74.5707210","42.4952520","12093"
"collins","https://www.facebook.com/CreeksideMarketCollins/?ref=aymt_homepage_panel","Creekside Market","ny","13971 route 62","bedding plants canned preserved cut-flowers herbs fresh-fruits fresh-vegetables honey maple-products","","farm","http://www.creeksideproduce.com/","-78.9284790","42.4986310","14034"
"Cazenovia","https://www.facebook.com/pages/Critz-Farms","Critz Farms","ny","3232 Rippleton Road","canned preserved cut-flowers dairy products fresh-fruits honey juices ciders maple-products prepared-foods wine spirits beer hard-cider","https://www.twitter.com/critzfarms","farm","www.critzfarms.com","-75.871351","42.876558","13035"
"Ballston Spa","https://www.facebook.com/DakotaRidgeFarm","Dakota Ridge Farm","ny","189 East High Street","crafts woodworking","https://twitter.com/DakotaRidgeFarm","farm","www.dakotaridgefarm.com","-73.832763","43.002172","12020"
"St. Johnsville","","Damin Farm","ny","8083 State Hwy 5","canned preserved dairy products eggs herbs fresh-fruits fresh-vegetables honey maple-products nuts poultry fowl red-meat non-poultry-meat","","farm","","-74.725050","43.004559","13452"
"Hubbardsville ","https://www.facebook.com/dartstreefarm","Dart's Tree Farm ","ny","7745 Hill Road ","nursery-stock","","farm","","-75.483456","42.829149","13355"
"Millerton","https://www.facebook.com/dashingstarfarm","Dashing Star Farm","ny","157 Indian Lake Road","eggs poultry fowl red-meat non-poultry-meat","","farm","dashingstarfarm.com","-73.5177530","41.9143410","12546"
"Erieville","https://www.facebook.com/dizzylizziesfarm?ref=hl","Dizzy Lizzie's Farm","ny","3823 Sanderson Road","bedding plants cut-flowers dry beans eggs herbs fresh-fruits fresh-vegetables maple-products","","farm","www.dizzylizziesfarm@gmail.com","-75.744191","42.839187","13061"
"New Paltz","https://www.facebook.com/dresselfarms/","Dressel Farms","ny","271 State Route 208","fresh-fruits fresh-vegetables honey juices ciders maple-products","","farm","http://www.dresselfarms.com/","-74.1111720","41.7146100","12561"
"East Meadow","https://www.facebook.com/EastMeadowFarmStand/","East Meadow Farm - CCE of Nassau County","ny","832 Merrick Ave","baked-goods canned preserved cut-flowers eggs fresh-fruits fresh-vegetables honey maple-products","","farm","http://ccenassau.org/","-73.567670","40.700695","11554"
"Cornwall","https://www.facebook.com/edgwickfarm","Edgwick Farm","ny","348 Angola Road","dairy products eggs","","farm","","-74.054181","41.414519","12518"
"East Hampton","www.facebook.com/FoodPantryFarm","Food Pantry Farm, Inc. @ the EECO Farm Stand","ny"," 55 Long Lane (EECO Farm Stand)","baked-goods canned preserved cut-flowers dairy products eggs herbs fresh-fruits fresh-vegetables honey juices ciders mushrooms prepared-foods","","farm","www.foodpantryfarm.org","-72.207546","40.970660","11937"
"Gardiner","https://www.facebook.com/fullmoonfarmny","Full Moon Farm","ny","54 Steves Lane","poultry fowl","","farm","http://www.fullmoonfarmny.com/","-74.1502860","41.6953480","12525"
"Walworth","https://www.facebook.com/YouPickFruit","G and S Orchards","ny","825 Atlantic Avenue","cut-flowers herbs fresh-fruits fresh-vegetables honey","https://www.twitter.com/GandSOrchards","farm","http://www.gandsorchards.com","-77.338466","43.165420","14568"
"Memphis","","Gillie Brook Farm","ny","6147 Gillie Brook Road","fresh-vegetables","","farm","www.gilliefarms.com","-76.352603","43.073066","13112"
"Cortland","","Halls Hill Blueberry Farm","ny","2110 Tower Road","","","farm","www.hallshillblueberryfarm.com","-76.137209","42.554060","13045"
"Martville","https://www.facebook.com/HappyHoovesOrganicFarm/","Happy Hooves Organic Farm","ny","13054 Ira Station rd","baked-goods canned preserved eggs honey pet-food poultry fowl red-meat non-poultry-meat soap body-care","","farm","http://betterbeef4u.com/","-76.611156","43.251306","13111"
"Waddington","","Harmony Farm Apiary","ny","273 Randall Road","honey","","farm","http://www.harmonyfarm.net","-75.238035","44.803357","13658"
"Ghent","Hawthorne Valley Farm Store","Hawthorne Valley Farm Store","ny","327 County Route 21C","baked-goods bedding plants canned preserved coffee tea dairy products dry beans eggs herbs fresh-fruits fresh-vegetables grains flour honey juices ciders maple-products mushrooms nuts pet-food poultry fowl prepared-foods red-meat non-poultry-meat soap body-care tofu non-animal protein","","farm","http://hawthornevalleyfarm.org/where-to-buy/farm-store/","-73.5947470","42.2706611","12075"
"Lowville","herrdale acres","Herrdale Acres Grassfed Beef","ny","7161 West Rd","","","farm","www.herrdaleacres.com","-75.5214759","43.7639003","13367"
"Remsen","https://www.facebook.com/pages/Heywoods-Blueberries/269549785195?sk=timeline","Heywoodss Blueberries","ny","9947 Evans Road","","","farm","heywoodsblueberries.com","-75.2208138","43.3457168","13438"
"Fort Edward","https://www.facebook.com/hiddennestfarm","Hidden Nest Farm","ny","","eggs poultry fowl red-meat non-poultry-meat","","farm","https://www.hiddennestfarm.com","-73.519735","43.281767","12828"
"Yorktown Heights","https://www.facebook.com/hilltophanoverfarm/","Hilltop Hanover Farm & Environmental Center","ny","1271 Hanover Street","baked-goods coffee tea cut-flowers dry beans eggs fresh-vegetables grains flour honey maple-products","https://twitter.com/friendsofhhfarm","farm","www.hilltophanoverfarm.org","-73.774207","41.252254","10598"
"Chittenango","Honey Hill Orchard & Apiary","Honey Hill Orchard & Apiaries","ny","1250 Kinderhook Rd ","fresh-fruits honey","","farm","","-75.913081","43.064624","13037"
"LeRoy","","J&W Farm","ny","7971 Vallance Rd.","cut-flowers fresh-fruits fresh-vegetables","","farm","","-77.960827","43.034078","14482"
"Kingston","https://www.facebook.com/KingstonYMCAFarmProject","Kingston YMCA Farm Project","ny","507 Broadway","cut-flowers herbs fresh-fruits fresh-vegetables","","farm","kingstonymcafarmproject.org","-74.0012350","41.9276140","12401"
"Kent","https://www.facebook.com/Lee.Farms.Organic.Beef?ref=hl","Lee Farms","ny","1417 Sawyer Rd","eggs fresh-vegetables red-meat non-poultry-meat","","farm","","-78.1576730","43.3466830","14477"
"Gasport","https://www.facebook.com/pages/Librock-Beef/356668141060191","Librock Beef","ny","5288 Gasport Rd","","","farm","www.librockbeef.com","-78.5778000","43.1564310","14067"
"Skaneateles","https://www.facebook.com/lockwoodlavenderfarm","Lockwood Lavender Farm","ny","1682 West Lake Road","herbs honey","","farm","","-76.393362","42.853001","13152"
"West Winfield","","Loiacono Farm","ny","573 Meeting House Road","fresh-fruits fresh-vegetables","","farm","","-75.165333","42.914275","13491"
"Wayland","Loon Lake Organics","Loon Lake Organics","ny","10569 County Route 92","fresh-fruits fresh-vegetables","","farm","","-77.569955","42.513065","14572"
"Warwick","https://www.facebook.com/lowlandfarm","Lowland Farm","ny","68 Prices Switch Road","poultry fowl","","farm","www.lowlandfarm.com/","-74.460853","41.260494","10990"
"Ghent","Made in Ghent","Made in Ghent","ny","Little Ghent Farm, 282 Snyder Road","poultry fowl prepared-foods red-meat non-poultry-meat","https://www.twitter.com/madeinghent","farm","www.madeinghent.com","-73.643255","42.330964","12075"
"Newport","https://www.facebook.com/MAWSFarm","MAWS Farm","ny","7342 Main Street, State Route 28","baked-goods bedding plants canned preserved crafts woodworking cut-flowers eggs herbs fresh-fruits fresh-vegetables honey poultry fowl red-meat non-poultry-meat","","farm","www.MAWSFarm.com","-75.010097","43.180348","13416"
"Carthage","","Mill Creek Farm","ny","19830 Eddy Road","","","farm","","-75.740696","43.954667","13619"
"Syracuse","https://www.facebook.com/pages/Navarino-Orchard/94081824018","Navarino Orchard","ny","3655 Cherry Valley Tpk. (rt.20)","","","farm","navarinoorchard.com","-76.236325","42.986208","13215"
"Conesus Lake ","oldesilofarm1@gmail.com","Olde Silo Farm","ny","5486 South Livonia Road","cut-flowers herbs fresh-fruits fresh-vegetables honey","","farm","","-77.672284","42.754630","14435"
"Oswego","ontaroorchards","Ontario Orchards","ny","7735 State Route 104","baked-goods bedding plants canned preserved coffee tea crafts woodworking cut-flowers dairy products dry beans eggs fish seafood herbs fresh-fruits fresh-vegetables grains flour honey juices ciders maple-products mushrooms nursery-stock nuts pet-food poultry fowl red-meat non-poultry-meat wine spirits beer hard-cider","","farm","ontarioorchards.com","-76.5775130","43.4098990","13126"
"Baldwinsville","https://www.facebook.com/reevesfarmsllc","Reeves Farms","ny","1220 W. Genesee Road","","","farm","www.reevesfarms.com","-76.415148","43.165342","13027"
"Keene Valley","","Rivermede Farm Market","ny","1925 Rt. 73","baked-goods bedding plants canned preserved coffee tea crafts woodworking cut-flowers dairy products eggs herbs fresh-fruits fresh-vegetables honey juices ciders maple-products mushrooms nuts poultry fowl prepared-foods red-meat non-poultry-meat soap body-care","","farm","rivermedefarm.com","-73.786625","44.199360","12943"
"Jamesville","Rocking Horse Farm","Rocking Horse Farm","ny","3736 Apulia Road","honey maple-products","","farm","www.rockinghorsefarmcny.com","-76.068845","42.952424","13078"
"Warnerville ","","Rocks and Roots Farm LLC","ny","151 Hadsell rd","dairy products fresh-vegetables honey mushrooms wild-harvested forest-products","","farm","","-74.511437","42.643584","12187"
"Hollowville","https://www.facebook.com/pages/Scarecrow-Farm","Scarecrow Farm","ny","29 Old Barrington Road","baked-goods canned preserved crafts woodworking eggs herbs fresh-vegetables honey","","farm","www.scarecrowfarmny.com","-73.660002","42.215512","12530"
"Brooktondale","https://www.facebook.com/ShelterbeltFarm","Shelterbelt Farm","ny","200 Creamery Road","honey poultry fowl red-meat non-poultry-meat","","farm","http://www.shelterbeltfarm.com","-76.352390","42.380125","14817"
"Poughkeepsie","www.facebook.com/sproutcreekfarm","Sprout Creek Farm","ny","34 Lauer Road","baked-goods canned preserved dairy products eggs honey maple-products poultry fowl red-meat non-poultry-meat","www.twitter.com/sproutcreekfarm","farm","www.sproutcreekfarm.org","-73.8148002","41.6598912","12603"
"Woodhull","facebook.com/SteamyFarms","Steamy Farms","ny","County Route 100","eggs honey poultry fowl red-meat non-poultry-meat","","farm","","-77.408089","42.038941","14898"
"Scottsville","https://www.facebook.com/stokoefarm","Stokoe Farms","ny","656 South Road","baked-goods canned preserved coffee tea crafts woodworking honey juices ciders maple-products prepared-foods soap body-care","","farm","stokoefarms.com","-77.773829","42.992039","14546"
"Schuyler Falls","https://www.facebook.com/pages/Stonebeck-Farm/203077556515064","Stonebeck Farm","ny","143 Strackville Road","","","farm","http://stonebeckfarm.blogspot.com/","-73.6887698","44.5976053","12985"
"Erin","stoneyridgeorchard","Stoneyridge Orchard & Winery LLC","ny","160 Bixby rd","baked-goods canned preserved crafts woodworking fresh-fruits fresh-vegetables honey juices ciders wine spirits beer hard-cider","","farm","www.stoneyridgeorchard.com","-76.6685290","42.1597360","14838"
"Medina","https://www.facebook.com/pages/Teasel-Meadow-Farms/246518425811","Teasel Meadow Farms","ny","11205 west Shelby Rd","red-meat non-poultry-meat","","farm","www.teaselmeadowfarms.com","-78.3978140","43.1652420","14103"
"Newark","www.facebook.com/theappleshed","The Apple Shed","ny","3391 Fairville Maple Ridge Rd.","baked-goods canned preserved coffee tea dairy products fresh-fruits fresh-vegetables honey juices ciders maple-products prepared-foods","www.twitter.com/theappleshed.com","farm","www.theappleshed.com","-77.0979550","43.1292743","14513"
"Hamden","https://www.facebook.com/Lucky.Dog.Farm.And.Store?ref=bookmarks","The Lucky Dog Farm Store and Cafe","ny","35796 State Highway 10","baked-goods canned preserved coffee tea crafts woodworking dairy products dry beans eggs fish seafood herbs fresh-fruits fresh-vegetables grains flour honey juices ciders maple-products mushrooms nuts pet-food poultry fowl prepared-foods red-meat non-poultry-meat soap body-care tofu non-animal protein wild-harvested forest-products wine spirits beer hard-cider","","farm","http://www.luckydogorganic.com/","-74.994065","42.191338","13782"
"Yorktown Heights","","The Meadows Farm","ny","329 Underhill Ave","","","farm","Meadowsfarmmarket.com","-73.780818","41.268860","10598"
"Pomona","https://www.facebook.com/pages/The-Orchards-of-Concklin/111163468897423","The Orchards Of Concklin","ny","2 So. Mountain Rd ","baked-goods bedding plants canned preserved coffee tea cut-flowers dairy products dry beans eggs herbs fresh-fruits fresh-vegetables honey juices ciders maple-products nuts","","farm","http://theorchardsofconcklin.com","-74.0320457","41.1786064","10970"
