	id	state	COUNTY	GEO_TTL	relevant_naics	NAICS2012_TTL	NAICS_Sector	estab	emp	payann
0	1001	1	1	Autauga County, Alabama	1133	Logging	11	6.0	54.8	2611.2
3	1001	1	1	Autauga County, Alabama	2123	Nonmetallic mineral mining and quarrying	21	2.6	48.0	1830.6
4	1001	1	1	Autauga County, Alabama	2211	Electric power generation, transmission and distribution	22	7.8	179.6	16997.2
6	1001	1	1	Autauga County, Alabama	2361	Residential building construction	23	13.2	22.4	751.4
7	1001	1	1	Autauga County, Alabama	2362	Nonresidential building construction	23	6.0	50.4	2205.8
8	1001	1	1	Autauga County, Alabama	2371	Utility system construction	23	3.0	3.6	316.2
12	1001	1	1	Autauga County, Alabama	2381	Foundation, structure, and building exterior contractors	23	9.8	26.0	748.4
13	1001	1	1	Autauga County, Alabama	2382	Building equipment contractors	23	18.6	91.2	3481.2
14	1001	1	1	Autauga County, Alabama	2383	Building finishing contractors	23	8.6	53.0	2861.6
15	1001	1	1	Autauga County, Alabama	2389	Other specialty trade contractors	23	7.4	15.4	1334.2
26	1001	1	1	Autauga County, Alabama	3327	Machine shops; turned product; and screw, nut, and bolt manufacturing	33	2.8	3.2	257.2
35	1001	1	1	Autauga County, Alabama	4233	Lumber and other construction materials merchant wholesalers	42	2.8	2.2	211.6
38	1001	1	1	Autauga County, Alabama	4238	Machinery, equipment, and supplies merchant wholesalers	42	5.4	52.8	5144.2
41	1001	1	1	Autauga County, Alabama	4244	Grocery and related product merchant wholesalers	42	2.8	2.2	146.6
45	1001	1	1	Autauga County, Alabama	4251	Wholesale electronic markets and agents and brokers	42	3.6	5.0	489.2
46	1001	1	1	Autauga County, Alabama	4411	Automobile dealers	44	8.8	182.6	8988.2
48	1001	1	1	Autauga County, Alabama	4413	Automotive parts, accessories, and tire stores	44	11.6	107.8	3473.4
49	1001	1	1	Autauga County, Alabama	4421	Furniture stores	44	3.0	10.4	419.6
50	1001	1	1	Autauga County, Alabama	4422	Home furnishings stores	44	3.6	5.0	171.6
51	1001	1	1	Autauga County, Alabama	4431	Electronics and appliance stores	44	6.6	51.2	1029.0
52	1001	1	1	Autauga County, Alabama	4441	Building material and supplies dealers	44	9.0	168.6	4015.8
